"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
152069,"Data Architect","Chile","Full-time","154000.0","2023-12-16 15:22:25","Nestlé"
897521,"Data Analyst - Insights","Australia","Full-time","118500.0","2023-11-16 16:15:46","DoorDash"
1180796,"Data Analyst, Growth","Canada","Full-time","111175.0","2023-04-12 18:31:14","Stripe"
205303,"Data Analyst, Risk User Experience","Canada","Full-time","111175.0","2023-09-04 07:16:18","Stripe"
409209,"Data Analyst (VBA, Tableau)","Canada","Full-time","109000.0","2023-11-09 19:11:57","Sun Life"
629221,"Analytics Engineering Lead","Canada","Full-time","108415.5","2023-11-27 11:52:42","Swiss Re"
827579,"Data Analyst - Game Operations","Canada","Full-time","105000.0","2023-07-06 14:10:17","HoYoverse"
1232872,"Analytics Lab Architect","Canada","Full-time","101014.0","2023-12-24 08:20:10","Swiss Re"
1531638,"Práctica Profesional Data Analyst & Documentation","Chile","Full-time","100500.0","2023-01-02 16:46:32","SimpliRoute"
995289,"Operation Data Analyst - Genshin Impact","Canada","Full-time","100500.0","2023-07-06 01:11:52","HoYoverse"
973984,"Data Analyst - HoYolab and Content Creator","Canada","Full-time","100500.0","2023-07-05 22:11:52","HoYoverse"
1201997,"Data Strategy Product Manager","Canada","Full-time","99150.0","2023-01-24 10:18:13","Kinaxis"
149920,"Data Analyst 2","Canada","Full-time","99150.0","2023-07-04 23:10:40","Zynga"
139994,"Procurement Data Analyst","Canada","Full-time","70500.0","2023-11-24 09:12:11","KBR, Inc."
1159759,"Junior Data Analyst","Canada","Full-time","57500.0","2023-07-05 21:12:14","HoYoverse"
